read all auctions,2025-05-28 10:59:45
read all users,2025-05-28 10:59:45
create users,2025-05-28 11:00:13
read all auctions,2025-06-04 09:25:55
read all users,2025-06-04 09:25:55
create auctions,2025-06-04 09:28:39
update cards,2025-06-04 09:30:30
create items,2025-06-04 09:30:30
read all auctions,2025-06-04 09:52:08
read all users,2025-06-04 09:52:08
update cards,2025-06-04 09:53:42
update cards,2025-06-04 09:54:07
read all auctions,2025-06-04 09:55:36
read all users,2025-06-04 09:55:36
update cards,2025-06-04 09:55:57
create items,2025-06-04 09:55:57
update cards,2025-06-04 09:57:50
update cards,2025-06-04 09:58:27
create bids,2025-06-04 09:58:27
create cards,2025-06-04 09:59:46
update cards,2025-06-04 10:00:53
update cards,2025-06-04 10:01:29
update cards,2025-06-04 10:01:29
create bids,2025-06-04 10:01:29
update items,2025-06-04 10:02:33
read all auctions,2025-06-04 10:12:34
read all users,2025-06-04 10:12:34
read all auctions,2025-06-04 10:23:50
read all users,2025-06-04 10:23:50
read all auctions,2025-06-04 10:31:40
read all users,2025-06-04 10:31:40
read all auctions,2025-06-04 10:32:13
read all users,2025-06-04 10:32:13
read all auctions,2025-06-04 10:37:42
read all users,2025-06-04 10:37:42
read all auctions,2025-06-04 11:00:48
read all users,2025-06-04 11:00:48
read all auctions,2025-06-04 11:05:40
read all users,2025-06-04 11:05:40
read all auctions,2025-06-04 11:07:50
read all users,2025-06-04 11:07:50
read all auctions,2025-06-04 11:08:11
read all users,2025-06-04 11:08:11
read all auctions,2025-06-04 11:08:22
read all users,2025-06-04 11:08:22
read all auctions,2025-06-04 11:08:43
read all users,2025-06-04 11:08:43
read all auctions,2025-06-04 11:23:23
read all users,2025-06-04 11:23:23
update cards,2025-06-04 11:23:55
update cards,2025-06-04 11:23:55
update cards,2025-06-04 11:23:55
update items,2025-06-04 11:23:55
read all auctions,2025-06-04 11:33:24
read all users,2025-06-04 11:33:24
read all auctions,2025-06-04 11:37:43
read all users,2025-06-04 11:37:43
read all auctions,2025-06-04 11:39:27
read all users,2025-06-04 11:39:27
read all auctions,2025-06-04 11:41:49
read all users,2025-06-04 11:41:49
read all auctions,2025-06-04 11:49:42
read all users,2025-06-04 11:49:43
delete auctions,2025-06-04 11:50:04
read all auctions,2025-06-04 11:51:14
read all users,2025-06-04 11:51:14
update cards,2025-06-04 11:55:29
create items,2025-06-04 11:55:29
create cards,2025-06-04 11:56:41
update cards,2025-06-04 11:57:34
update cards,2025-06-04 11:58:48
create bids,2025-06-04 11:58:48
update cards,2025-06-04 12:00:30
update cards,2025-06-04 12:00:30
update cards,2025-06-04 12:00:30
update items,2025-06-04 12:00:30
update cards,2025-06-04 12:01:36
create items,2025-06-04 12:01:36
read all auctions,2025-06-04 12:35:56
read all users,2025-06-04 12:35:56
update cards,2025-06-04 12:36:20
create items,2025-06-04 12:36:20
read all users,2025-06-04 13:16:07
read all auctions,2025-06-04 13:16:07
read all users,2025-06-04 13:18:26
read all auctions,2025-06-04 13:18:26
delete items,2025-06-04 13:18:43
delete items,2025-06-04 13:18:43
delete auctions,2025-06-04 13:18:43
